省份,城市,院校名,主管部门,院校编码,院校水平,院校来历,建校时间,院校类型,软科校排,城市评级,招生电话,院校地址,办学层次,办学性质,校硕点,校博点,第四轮学科评估统计,第四轮学科评估结果,一流学科数量,一流学科,25年推免率,24年推免率,23年推免率,22年推免率,21年推免率,20年推免率,国内升学比例,国外升学比例,23年升本率,招生章程,学校招生信息,校园VR,院校百科,就业质量
北京,北京,北京工商大学,北京市,4111010011,/保研资格/卓越农林拔尖创新,原轻工业部,1950年,财经,普本总129/财11,一线,010-68984711、68983272,北京市海淀区阜成路33号,本科,公办,有,有,B:3/C+:1/C:2/C-:6/,B:3_应用经济学/食品科学与工程/工商管理;C+:1_化学工程与技术;C:2_计算机科学与技术/环境科学与工程;C-:6_理论经济学/法学/马克思主义理论/新闻传播学/控制科学与工程/管理科学与工程;,,,6.72%,5.82%,6.79%,5.43%,5.90%,4.80%,28.38%,,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-11.dhtml,https://zsb.btbu.edu.cn/zszc/zszc/index.htm,https://www.720yun.com/t/2932em88ula,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%B7%A5%E5%95%86%E5%A4%A7%E5%AD%A6,https://zsjyc.btbu.edu.cn/xzzx/zsjyc4/3bc40a114f6a42aabfb8bf1d6a21ac68.htm
北京,北京,北京服装学院,北京市,4111010012,/保研资格/卓越工程师,原纺织部高校,1959年,艺术,艺术8,一线,010-64288364、64288375,北京市朝阳区樱花东街甲2号北京服装学院,本科,公办,有,有,B+:1/B-:1/C+:1/,B+:1_设计学;B-:1_美术学;C+:1_艺术学理论;,,,,,,,1.00%,,6.35%,8.33%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-12.dhtml,https://bksz.bift.edu.cn/,https://www.720yun.com/t/2e7jtOtmtf4,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E6%9C%8D%E8%A3%85%E5%AD%A6%E9%99%A2,https://www.bift.edu.cn/docs/2023-12/23b2155c1c814508bd70c3294ac8b838.pdf
北京,北京,北京邮电大学,教育部,4111010013,/211/双一流大学/保研资格/基础学科拔尖/卓越工程师,原邮电部,1955年,理工,普本总60,一线,"010-62282045,、62285045,、62280945,、62289945",北京市海淀区西土城路10号,本科,公办,有,有,A+:1/A:1/A-:1/B+:1/B:1/B-:3/C+:2/C-:1/,A+:1_信息与通信工程;A:1_计算机科学与技术;A-:1_电子科学与技术;B+:1_软件工程;B:1_管理科学与工程;B-:3_光学工程/控制科学与工程/工商管理;C+:2_机械工程/公共管理;C-:1_生物医学工程;,2,信息与通信工程/计算机科学与技术,30.13%,,24.40%,22.57%,20.90%,21.00%,44.39%,21.30%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-13.dhtml,https://zsb.bupt.edu.cn/,https://www.720yun.com/t/e1f2exb8ayi,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E9%82%AE%E7%94%B5%E5%A4%A7%E5%AD%A6,https://mp.weixin.qq.com/s/8l_tnp_M9XrVT7ytFNadHQ
北京,北京,北京印刷学院,北京市,4111010015,/卓越工程师,,1958年,理工,普本总302,一线,010-60227871,北京市大兴区兴华大街(二段)1号,本科,公办,有,有,B-:1/C+:2/C-:1/,B-:1_设计学;C+:2_新闻传播学/美术学;C-:1_材料科学与工程;,,,,,,,,,8.77%,6.75%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-14.dhtml,https://zhaosheng.bigc.edu.cn/,https://www.720yun.com/t/6a5jkpemsv6,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%8D%B0%E5%88%B7%E5%AD%A6%E9%99%A2,https://jysd.bigc.edu.cn/news/view/aid/418396/tag/tzgg
北京,北京,北京建筑大学,北京市,4111010016,/保研资格/卓越工程师,原北京建筑工程学院更名,1907年,理工,普本总165,一线,010-68322507，010-61209710,北京市大兴区永源路15号,本科,公办,有,有,B:2/B-:1/C+:2/C:3/,B:2_建筑学/土木工程;B-:1_城乡规划学;C+:2_测绘科学与技术/环境科学与工程;C:3_控制科学与工程/交通运输工程/风景园林学;,,,4.13%,4.23%,3.47%,,1.70%,,10.21%,6.91%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-15.dhtml,http://zsb.bucea.edu.cn,,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%BB%BA%E7%AD%91%E5%A4%A7%E5%AD%A6,https://job.bucea.edu.cn/front/showContent.jspa?channelId=743&contentId=103405&parentId=743
北京,北京,北京石油化工学院,北京市,4111010017,/卓越工程师,原石油部高校,1978年,理工,普本总297,一线,010-81292235、81292236,北京市大兴区清源北路19号,本科,公办,有,无,,,,,,,,,,,5.43%,4.45%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-16.dhtml,http://zhaosheng.bipt.edu.cn/content/bipt/,,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E7%9F%B3%E6%B2%B9%E5%8C%96%E5%B7%A5%E5%AD%A6%E9%99%A2,http://www.bipt.edu.cn/docs/20211230172433893694.pdf
北京,北京,北京电子科技学院,中央办公厅,4111010018,,,,理工,普本总216,一线,010-83635284,北京市丰台区富丰路7号,本科,公办,有,有,,,,,,,,,,,,,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-17.dhtml,http://www.besti.edu.cn/,,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E7%94%B5%E5%AD%90%E7%A7%91%E6%8A%80%E5%AD%A6%E9%99%A2,
北京,北京,中国农业大学,教育部,4111010019,/985/211/双一流大学/保研资格/基础学科拔尖/卓越农林拔尖创新/卓越农林复合应用,原农业部,1905年,农业,普本总25,一线,010-62737682,北京市海淀区清华东路17号,本科,公办,有,有,A+:6/A:1/A-:2/B+:5/B:3/B-:2/C+:1/C:1/C-:4/,A+:6_农业工程/食品科学与工程/作物学/畜牧学/兽医学/草学;A:1_生物学;A-:2_农业资源与环境/植物保护;B+:5_生态学/水利工程/园艺学/农林经济管理/公共管理;B:3_社会学/机械工程/环境科学与工程;B-:2_计算机科学与技术/工商管理;C+:1_化学;C:1_数学;C-:4_马克思主义理论/电气工程/土木工程/图书情报与档案管理;,9,生物学/农业工程/食品科学与工程/作物学/农业资源与环境/植物保护/畜牧学/兽医学/草学,32.56%,29.21%,28.84%,27.08%,27.40%,23.60%,41.60%,19.73%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-18.dhtml,http://jwzs.cau.edu.cn/,https://www.720yun.com/t/d0vkOmq9ddq,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E5%86%9C%E4%B8%9A%E5%A4%A7%E5%AD%A6,https://scc.cau.edu.cn/frontpage/cau/html/newsDetail.html?id=a6d10c875f71482d86457b6e6a9363b2
北京,北京,北京农学院,北京市,4111010020,/卓越农林复合应用,,1956年,农业,普本总280,一线,"010-80799334,010-80796306",北京市昌平区史各庄街道北农路7号,本科,公办,有,无,C+:1/C:1/C-:1/,C+:1_园艺学;C:1_农林经济管理;C-:1_兽医学;,,,,,,,,,12.79%,7.46%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-19.dhtml,https://zsb.bua.edu.cn/,https://www.720yun.com/t/727j5Owaua1,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%86%9C%E5%AD%A6%E9%99%A2,https://www.bua.edu.cn/info/1012/5032.htm
北京,北京,北京林业大学,教育部,4111010022,/211/双一流大学/保研资格/基础学科拔尖/卓越农林拔尖创新/卓越农林复合应用,原林业部,1952年,林业,普本总85,一线,010-62338216，62338222,北京海淀区清华东路35号,本科,公办,有,有,A+:2/B:4/B-:1/C+:3/C:2/C-:3/,A+:2_风景园林学/林学;B:4_生物学/生态学/林业工程/农林经济管理;B-:1_环境科学与工程;C+:3_机械工程/草学/设计学;C:2_外国语言文学/工商管理;C-:3_统计学/城乡规划学/管理科学与工程;,2,风景园林学/林学,21.10%,20.61%,19.60%,19.10%,18.70%,18.90%,31.01%,14.47%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-20.dhtml,http://zsb.bjfu.edu.cn/,https://www.720yun.com/t/48f22wa5ayw,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E6%9E%97%E4%B8%9A%E5%A4%A7%E5%AD%A6,http://www.bjfu.edu.cn/zsjy/389676.html
北京,北京,北京协和医学院,国家卫生健康委员会,4111010023,/双一流大学/保研资格/卓越医生拔尖创新/高水平公共卫生学院,原卫生部,1917年,医药,普本总13/医1,一线,010-65249442,北京东单三条九号,本科,公办,有,有,A+:2/A:1/A-:1/B:1/B-:1/C+:1/C:1/C-:1/,A+:2_基础医学/药学;A:1_临床医学;A-:1_护理学;B:1_公共卫生与预防医学;B-:1_中药学;C+:1_中西医结合;C:1_图书情报与档案管理;C-:1_公共管理;,5,生物学/生物医学工程/临床医学/公共卫生与预防医学/药学,,,,,,,14.04%,,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-21.dhtml,http://gkxc.pumc.edu.cn,,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%8D%8F%E5%92%8C%E5%8C%BB%E5%AD%A6%E9%99%A2,
北京,北京,首都医科大学,北京市,4111010025,/保研资格/卓越医生拔尖创新/卓越医生五年制/卓越医生3+2专科/卓越中医5年/卓越中医基层,,1960年,医药,普本总35/医2,一线,010-83911084,北京市丰台区右安门外西头条10号,本科,公办,有,有,A-:2/B+:3/B:2/B-:1/C+:1/C:1/C-:1/,A-:2_临床医学/护理学;B+:3_生物学/公共卫生与预防医学/药学;B:2_基础医学/口腔医学;B-:1_生物医学工程;C+:1_中医学;C:1_中西医结合;C-:1_中药学;,,,,,,,22.90%,,38.46%,5.66%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-22.dhtml,http://zhsh.ccmu.edu.cn/,https://www.720yun.com/t/46vksb2m5db,https://baike.baidu.com/item/%E9%A6%96%E9%83%BD%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6,
北京,北京,北京中医药大学,教育部,4111010026,/211/双一流大学/保研资格/基础学科拔尖/卓越中医9年/卓越中医8年/卓越中医5年,,1956年,中医药,普本总1,一线,01064286231,北京市朝阳区北三环东路11号,本科,公办,有,有,A+:2/B+:1/,A+:2_中医学/中西医结合;B+:1_中药学;,3,中医学/中西医结合/中药学,14.61%,16.41%,12.80%,14.40%,14.40%,13.00%,46.14%,,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-23.dhtml,https://bkzs.bucm.edu.cn,https://www.720yun.com/t/005jz04fuy1,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E4%B8%AD%E5%8C%BB%E8%8D%AF%E5%A4%A7%E5%AD%A6,https://jy.bucm.edu.cn/front/showContent.jspa?contentId=3520&channelId=743
北京,北京,北京师范大学,教育部,4111010027,/985/211/双一流大学/保研资格/基础学科拔尖/卓越中学教师/卓越学前教师/卓越法律复合应用/卓越法律涉外/牵头帮扶师范,,1902年,师范,普本总19,一线,010-58807962,北京海淀区新街口外大街19号,本科,公办,有,有,A+:6/A:2/A-:7/B+:7/B:2/B-:3/C+:6/C:1/C-:3/,A+:6_教育学/心理学/中国语言文学/中国史/地理学/戏剧与影视学;A:2_数学/环境科学与工程;A-:7_哲学/理论经济学/马克思主义理论/外国语言文学/生态学/统计学/公共管理;B+:7_法学/体育学/世界史/物理学/化学/生物学/艺术学理论;B:2_计算机科学与技术/工商管理;B-:3_政治学/社会学/系统科学;C+:6_应用经济学/新闻传播学/水利工程/测绘科学与技术/图书情报与档案管理/音乐与舞蹈学;C:1_核科学与技术;C-:3_考古学/天文学/美术学;,12,哲学/教育学/心理学/中国语言文学/外国语言文学/中国史/数学/地理学/系统科学/生态学/环境科学与工程/戏剧与影视学,34.07%,30.05%,31.26%,36.35%,35.00%,33.60%,39.59%,15.72%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-24.dhtml,https://admission.bnu.edu.cn,https://www.720yun.com/t/5edjO5ma5y0,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6,
北京,北京,首都师范大学,北京市,4111010028,/双一流大学/保研资格/基础学科拔尖/卓越中学教师/卓越小学教师/牵头帮扶师范,,1954年,师范,普本总99,一线,010-68902995(普通类)、010-68416836(艺术类),北京市海淀区西三环北路105号,本科,公办,有,有,A-:5/B+:6/B:3/B-:3/C+:2/C:2/C-:1/,A-:5_马克思主义理论/教育学/中国语言文学/世界史/美术学;B+:6_中国史/数学/地理学/生物学/统计学/音乐与舞蹈学;B:3_心理学/外国语言文学/生态学;B-:3_考古学/计算机科学与技术/软件工程;C+:2_政治学/化学;C:2_法学/设计学;C-:1_科学技术史;,1,数学,,,11.57%,,9.50%,8.30%,30.88%,,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-25.dhtml,https://bkzs.cnu.edu.cn,https://www.720yun.com/t/cf926x8dxtn,https://baike.baidu.com/item/%E9%A6%96%E9%83%BD%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6,https://jy.cnu.edu.cn/News/newsXiang.html?cateid=2ff61556-ded0-0276-aab6-5faf883aee46&id=36fcdaee-6407-8035-51aa-b94f4edaebc5
北京,北京,首都体育学院,北京市,4111010029,,,,体育,普本总244/体3,一线,010-82090776，82099026,北京市海淀区北三环西路11号；办学地点：校本部、北校区、凤凰岭校区。,本科,公办,有,有,B+:1/,B+:1_体育学;,,,,,,,,,,,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-26.dhtml,https://zs.cupes.edu.cn/,https://www.720yun.com/t/22ejr0wvOw7,https://baike.baidu.com/item/%E9%A6%96%E9%83%BD%E4%BD%93%E8%82%B2%E5%AD%A6%E9%99%A2,https://jy.cupes.edu.cn/docs/2024-01/a7dcd6ec9695495aa6dc84bd3c317aa1.pdf
北京,北京,北京外国语大学,教育部,4111010030,/211/双一流大学/保研资格/卓越法律涉外,,1941年,语言,普本总82/语1,一线,010-88816481、88816254,北京市海淀区西三环北路2号,本科,公办,有,有,A+:1/B-:1/C+:4/,A+:1_外国语言文学;B-:1_政治学;C+:4_法学/中国语言文学/新闻传播学/管理科学与工程;,1,外国语言文学,35.40%,29.66%,24.90%,19.50%,20.20%,11.90%,18.80%,28.51%,,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27.dhtml,http://joinus.bfsu.edu.cn,https://www.720yun.com/t/e2a29wauj4r,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%A4%96%E5%9B%BD%E8%AF%AD%E5%A4%A7%E5%AD%A6,https://jyzd.bfsu.edu.cn/front/showContent.jspa?contentId=114526&channelId=830
